n,e
617,0.8441800368614993
618,0.9275994524038761
619,1.0314613327948843
620,1.034261482283393
621,1.131955481765005
622,1.1731556022935012
623,1.2035011711537447
624,1.1753537116402277
625,1.1950263787417776
626,1.1473761857918363
627,1.0611232145126088
628,0.9718375375694032
629,0.859685667755743
630,0.7784800974476258
631,0.6827611538143213
632,0.654271295005159
633,0.6265764701142766
634,0.6329541951944982
635,0.5619189191340378
636,0.4896314876731111
637,0.39000652161233784
638,0.21849535182949534
639,0.21734286021422372
640,0.3966149608811625
641,0.5308456840999984
642,0.6475610241838932
643,0.7758685272420681
644,0.7675330085835567
645,0.6842780091885197
646,0.5935673522288067
647,0.4201259129699042
648,0.31933651645576283
649,0.3666829738040942
650,0.550104467834938
651,0.7642734931966199
652,0.9185874430662816
653,1.0563798265419424
654,1.0906323897002133
655,1.0684032448087222
656,0.9815694360571429
657,0.8006656772482149
658,0.5730000249550942
659,0.3716321030548703
660,0.25369486730412016
661,0.32001091147620875
662,0.47573758604473754
663,0.6585243772360926
664,0.8222996976580074
665,0.9540522465028582
666,1.0193967773881214
667,0.9919122582726102
668,0.9571759430613125
669,0.8372229503126373
670,0.690678087236507
671,0.5134860873950062
672,0.46200239944408744
673,0.5155845162582711
674,0.5681028897459304
675,0.640190667264888
676,0.6888343897888616
677,0.7475501038491806
678,0.757796709650601
679,0.7375952600275231
680,0.7309325320127509
681,0.6947361782642263
682,0.6638206069572735
683,0.5685103943906125
684,0.39158917190563436
685,0.30579023625553753
686,0.26469178602108434
687,0.5017724492724993
688,0.7980607874969448
689,0.9832343702350383
690,1.1220967728801168
691,1.259471950398889
692,1.1596978948088574
693,1.0414763703990433
694,0.8541331598801254
695,0.6252543028457767
696,0.3684115945240665
697,0.22987809158395042
698,0.28647927886417435
699,0.47708776795339325
700,0.62831956007047
701,0.692763529134562
702,0.7025297831826619
703,0.6336302015233896
704,0.5059122129116069
705,0.3265257052259407
706,0.19879022910774227
707,0.28541262352842944
708,0.4131594005100195
709,0.5800952180015749
710,0.6765778944072486
711,0.7636549080003572
712,0.8325629978659672
713,0.8195532028482745
714,0.86650246100697
715,0.9321940703735101
716,1.052772032334169
717,1.098759636334136
718,1.2035787439923586
719,1.2712613084871498
720,1.2596952572090772
721,1.2514197643632021
722,1.20384710359614
723,1.1562661349154315
724,1.0394564022390915
725,0.941527247500186
726,0.881363458073841
727,0.8101680907974592
728,0.7331729128782739
729,0.6808717999511462
730,0.6377903101871517
731,0.5990788145898136
732,0.5266211137795198
733,0.4496580933651455
734,0.42451083319768346
