memory,r_deg,i_deg,score,n_coef,N
2,4,3,0.317640471786231,21,9675
2,4,4,0.22221363016041268,24,9675
2,4,5,0.21233247463327518,27,9675
2,4,6,0.21102050070919884,30,9675
2,4,7,0.21073220450439728,33,9675
2,4,8,0.21058063234030036,36,9675
2,4,9,0.2103006933931725,39,9675
2,4,10,0.20920892881362904,42,9675
2,4,11,0.20867576390463607,45,9675
2,4,12,0.20862230282469807,48,9675
2,4,13,0.20834723387236775,51,9675
2,4,14,0.20814138946039074,54,9675
2,4,15,0.20780356285158383,57,9675
2,5,1,0.683330641922348,18,9675
2,5,2,0.3288560831314681,21,9675
2,5,3,0.3088591782194289,24,9675
2,5,4,0.21274674565016183,27,9675
2,5,5,0.20617539393147244,30,9675
2,5,6,0.20470950470643076,33,9675
2,5,7,0.204465332578499,36,9675
2,5,8,0.20431590558596235,39,9675
2,5,9,0.20412902647260076,42,9675
2,5,10,0.2030289190637628,45,9675
2,5,11,0.20244096094061764,48,9675
2,5,12,0.2023915754379542,51,9675
2,5,13,0.20216006606270023,54,9675
2,5,14,0.20195560649453007,57,9675
2,5,15,0.2017181387827879,60,9675
2,6,1,0.6829155816400454,21,9675
2,6,2,0.32784565833810314,24,9675
2,6,3,0.3074793331263956,27,9675
2,6,4,0.21112991353659155,30,9675
2,6,5,0.20428552150475154,33,9675
2,6,6,0.20263050488385806,36,9675
2,6,7,0.2022817143184004,39,9675
2,6,8,0.20211262414411485,42,9675
2,6,9,0.20202565169593956,45,9675
2,6,10,0.2010190962162626,48,9675
2,6,11,0.20031697789658673,51,9675
2,6,12,0.2003006482784136,54,9675
2,6,13,0.20007266523943365,57,9675
2,6,14,0.19986323765817454,60,9675
2,6,15,0.19964624101704667,63,9675
2,7,1,0.6828858058652977,24,9675
2,7,2,0.3276222442199296,27,9675
2,7,3,0.3069937131142476,30,9675
2,7,4,0.21080923696046036,33,9675
2,7,5,0.20404047499002964,36,9675
2,7,6,0.2022635673252562,39,9675
2,7,7,0.2019455236714314,42,9675
2,7,8,0.20181301593370893,45,9675
2,7,9,0.20176971734234186,48,9675
2,7,10,0.20075288746154363,51,9675
2,7,11,0.20009214026350497,54,9675
2,7,12,0.20007300402325276,57,9675
2,7,13,0.19984306728792722,60,9675
2,7,14,0.19963416423596952,63,9675
2,7,15,0.1994221610764776,66,9675
2,8,1,0.6828395959722621,27,9675
2,8,2,0.3273129144385801,30,9675
2,8,3,0.30641088647687587,33,9675
2,8,4,0.21065952155572001,36,9675
2,8,5,0.20390753155172983,39,9675
2,8,6,0.2021072088344021,42,9675
2,8,7,0.20181861503381945,45,9675
